search single pattern
0x08059909 : pop eax ; ret
0x080b7cb6 : pop eax ; ret
0x080481c9 : pop ebx ; ret
0x0804f06c : pop ebx ; ret
0x0804f09a : pop ebx ; ret
0x0805022e : pop ebx ; ret
0x08050d4e : pop ebx ; ret
0x08050d7a : pop ebx ; ret
0x08050dc7 : pop ebx ; ret
0x08050e1e : pop ebx ; ret
0x08050e3a : pop ebx ; ret
0x080517c0 : pop ebx ; ret
0x08052126 : pop ebx ; ret
0x08052198 : pop ebx ; ret
0x080523cc : pop ebx ; ret
0x0805257a : pop ebx ; ret
0x08052e3b : pop ebx ; ret
0x08053586 : pop ebx ; ret
0x080535c8 : pop ebx ; ret
0x08053647 : pop ebx ; ret
0x080536fd : pop ebx ; ret
0x08053727 : pop ebx ; ret
0x080537dd : pop ebx ; ret
0x0805382c : pop ebx ; ret
0x08053883 : pop ebx ; ret
0x08053890 : pop ebx ; ret
0x08053969 : pop ebx ; ret
0x08053e93 : pop ebx ; ret
0x08053ea6 : pop ebx ; ret
0x08053f0f : pop ebx ; ret
0x08053fd0 : pop ebx ; ret
0x08053ff2 : pop ebx ; ret
0x08054032 : pop ebx ; ret
0x0805403d : pop ebx ; ret
0x08054a3e : pop ebx ; ret
0x08054a5d : pop ebx ; ret
0x08055049 : pop ebx ; ret
0x08057f01 : pop ebx ; ret
0x080580b8 : pop ebx ; ret
0x08058c01 : pop ebx ; ret
0x08059b1f : pop ebx ; ret
0x0805ae05 : pop ebx ; ret
0x0805ae50 : pop ebx ; ret
0x0805be7b : pop ebx ; ret
0x0805be82 : pop ebx ; ret
0x0805bf15 : pop ebx ; ret
0x0805bf89 : pop ebx ; ret
0x0805c008 : pop ebx ; ret
0x0805c094 : pop ebx ; ret
0x0805c131 : pop ebx ; ret
0x08062b8d : pop ebx ; ret
0x08062b9c : pop ebx ; ret
0x08062bac : pop ebx ; ret
0x08062bbc : pop ebx ; ret
0x08062bcc : pop ebx ; ret
0x08062bdc : pop ebx ; ret
0x08062bec : pop ebx ; ret
0x08062bfc : pop ebx ; ret
0x08062c3c : pop ebx ; ret
0x08062e9f : pop ebx ; ret
0x08062f5c : pop ebx ; ret
0x08063017 : pop ebx ; ret
0x080630b5 : pop ebx ; ret
0x0806328d : pop ebx ; ret
0x08063316 : pop ebx ; ret
0x080633b1 : pop ebx ; ret
0x0806345f : pop ebx ; ret
0x080634dd : pop ebx ; ret
0x0806355a : pop ebx ; ret
0x080635e5 : pop ebx ; ret
0x08063683 : pop ebx ; ret
0x0806370b : pop ebx ; ret
0x08063798 : pop ebx ; ret
0x08063833 : pop ebx ; ret
0x080638e1 : pop ebx ; ret
0x08063979 : pop ebx ; ret
0x08063a16 : pop ebx ; ret
0x08063ac1 : pop ebx ; ret
0x08063b7f : pop ebx ; ret
0x08063c0b : pop ebx ; ret
0x08063c3f : pop ebx ; ret
0x0806ba75 : pop ebx ; ret
0x0806bdb0 : pop ebx ; ret
0x0806c43d : pop ebx ; ret
